club_tm,club_id,valor_plantel,div,equipo
Aberdeen FC,370,14900000.0,SC0,Aberdeen
Dundee United FC,1519,12630000.0,SC0,Dundee United
St. Mirren FC,465,7880000.0,SC0,St Mirren
Dundee FC,511,6880000.0,SC0,Dundee
Kilmarnock FC,2553,6800000.0,SC0,Kilmarnock
Falkirk FC,1191,6500000.0,SC0,Falkirk
St. Johnstone FC,2578,6480000.0,SC0,St Johnstone
Olympiacos Piraeus,683,184450000.0,G1,Olympiakos
Panathinaikos,265,123750000.0,G1,Panathinaikos
PAOK Thessaloniki,1091,108800000.0,G1,PAOK
AEK Athens,2441,86200000.0,G1,AEK
Aris Thessaloniki,605,40350000.0,G1,Aris
OFI Crete,653,18750000.0,G1,OFI Crete
Levadiakos,2672,16530000.000000002,G1,Levadeiakos
Volos FC,60949,13630000.0,G1,Volos NFC
Panetolikos,6418,13450000.0,G1,Panetolikos
Atromitos Athens,3060,13000000.0,G1,Atromitos
Asteras Aktor,6676,12950000.0,G1,Asteras Tripolis
Kalamata FC,9,11950000.0,G1,Kalamata
Iraklis Thessaloniki,47,11030000.0,G1,Iraklis
AE Kifisia,30120,10300000.0,G1,Kifisia
