fecha,local,visita,competicion,registrado,pL,pE,pV,over25,btts,marcador,sin_pL,sin_pE,sin_pV,bajas_l,bajas_v,cuota_l,cuota_e,cuota_v,cuota_o25,cuota_u25,gl,gv,resultado
2026-09-13,RAAL La Louviere,Kortrijk,B1,2026-09-13 10:31,0.3935202300647325,0.3097046918212808,0.2967750781139867,0.4600640216600656,0.5225688460099492,1-0,0.393701811758311,0.3096245486736558,0.2966736395680331,0.0235294117647058,0.0535331905781584,2.37,3.28,2.78,1.92,1.8,3.0,0.0,L
2026-09-13,Kifisia,Levadeiakos,G1,2026-09-13 10:31,0.4358725591603621,0.2779538742724057,0.286173566567232,0.4655160583871685,0.5307068514666811,1-1,0.4354217665698502,0.2782154448503,0.2863627885798497,0.0364077669902912,0.0,2.32,3.16,2.89,2.07,1.68,0.0,0.0,E
2026-09-13,PAOK,Aris,G1,2026-09-13 10:31,0.5974851127613208,0.2430629026958115,0.1594519845428677,0.5344623908623323,0.5172358225414468,1-0,0.5957567517860693,0.2434801796142887,0.1607630685996419,0.2169117647058823,0.0,1.48,4.1,5.64,1.73,2.01,2.0,0.0,L
2026-09-13,PSV Eindhoven,Sparta Rotterdam,N1,2026-09-13 10:31,0.8373645571289949,0.1158880027481929,0.046747440122812,0.8030414436120024,0.5715991653793114,3-0,0.8373868331168676,0.1158034000809002,0.0468097668022322,0.1585515907892423,0.0708191126279863,1.16,7.63,11.58,1.17,4.49,4.0,1.0,L
2026-09-13,Panathinaikos,Panetolikos,G1,2026-09-13 10:31,0.743944328685502,0.1877510954579501,0.0683045758565479,0.5314813594662998,0.4564175477440562,1-0,0.7436933201891789,0.1879850011021309,0.0683216787086903,0.063030303030303,0.0483271375464684,1.29,4.77,9.15,1.74,1.99,3.0,0.0,L
2026-09-13,Brest,Paris SG,F1,2026-09-13 10:31,0.0769601701705095,0.1431430112155735,0.7798968186139168,0.7194927369220839,0.5956028386410686,1-2,0.0766531113340047,0.1433397648627306,0.7800071238032648,0.057471264367816,0.0,9.85,5.88,1.25,1.39,2.84,0.0,1.0,V
2026-09-13,Sassuolo,Juventus,I1,2026-09-13 10:31,0.1455873227424032,0.2431632024124962,0.6112494748451005,0.5815811989686477,0.5659363855084443,1-1,0.1480857121494151,0.2425046297372345,0.6094096581133502,0.2211610957527016,0.3568545131600193,5.12,3.94,1.62,1.78,1.97,3.0,2.0,L
2026-09-13,Sociedad,Ath Madrid,SP1,2026-09-13 10:31,0.3079187263839338,0.2730845485213395,0.4189967250947267,0.5602815433550854,0.5895509301526785,1-1,0.3078845242159794,0.2731036088416724,0.4190118669423481,0.0028745957599712,0.0,2.81,3.48,2.35,1.64,2.17,0.0,3.0,V
2026-09-13,Tenerife,Leganes,SP2,2026-09-13 10:31,0.4068969945671102,0.3267584374715101,0.2663445679613795,0.3537688102047991,0.4420732835015508,0-0,0.4066876695122961,0.3268948035296091,0.2664175269580947,0.0220913107511045,0.0,2.27,3.0,3.17,2.4,1.52,2.0,0.0,L
2026-09-13,Famalicao,Sp Lisbon,P1,2026-09-13 10:31,0.1721468492920753,0.2354378679847538,0.5924152827231709,0.5524151108987565,0.4896002179678787,0-1,0.1725960114833242,0.2351588556893081,0.5922451328273677,0.0,0.0462107208872458,5.47,4.13,1.52,1.73,2.01,1.0,1.0,E
